"country","adjectivals","demonyms"
"Abkhazia","Abkhaz,Abkhazian","Abkhazians"
"Afghanistan","Afghan","Afghans"
"Åland Islands","Åland Island","Åland Islanders"
"Albania","Albanian","Albanians"
"Algeria","Algerian","Algerians"
"American Samoa","American Samoan","American Samoans"
"Andorra","Andorran","Andorrans"
"Angola","Angolan","Angolans"
"Anguilla","Anguillan","Anguillans"
"Antarctica","Antarctic","Antarctic residents"
"Antigua and Barbuda","Antiguan or Barbudan","Antiguans,Barbudans"
"Argentina","Argentinian","Argentines,Argentinians"
"Armenia","Armenian","Armenians"
"Aruba","Aruban","Arubans"
"Australia","Australian","Australians,Aussies"
"Austria","Austrian","Austrians"
"Azerbaijan","Azerbaijani,Azeri","Azerbaijanis,Azeris"
"Bahamas","Bahamian","Bahamians"
"Bahrain","Bahraini","Bahrainis"
"Bangladesh","Bengali","Bangladeshis,Deshis,Bengis,Bennies,Bengullies,Banglas,Bengalis"
"Barbados","Barbadian","Barbadians,Bajans"
"Belarus","Belarusian","Belarusians"
"Belgium","Belgian","Belgians"
"Belize","Belizean","Belizeans"
"Benin","Beninese,Beninois","Beninese,Beninois"
"Bermuda","Bermudian,Bermudan","Bermudians,Bermudans"
"Bhutan","Bhutanese","Bhutanese"
"Bolivia","Bolivian","Bolivians"
"Bonaire","Bonaire","Bonaire Dutch"
"Bosnia and Herzegovina","Bosnian,Herzegovinian","Bosnians,Herzegovinians"
"Botswana","Motswana,Botswanan","Motswana,Batswana,Botswanans"
"Bouvet Island","Bouvet Island",
"Brazil","Brazilian","Brazilians"
"Brunei","Bruneian","Bruneian"
"Bulgaria","Bulgarian","Bulgarians"
"Burkina Faso","Burkinabé","Burkinabè,Burkinabé"
"Burma","Burmese","Burmese,Bamar"
"Burundi","Burundian","Burundians,Barundi"
"Cabo Verde","Cabo Verdean","Cabo Verdeans"
"Cambodia","Cambodian","Cambodians"
"Cameroon","Cameroonian","Cameroonians"
"Canada","Canadian","Canadians"
"Cayman Islands","Caymanian","Caymanians"
"Central African Republic","Central African","Central Africans"
"Chad","Chadian","Chadians"
"Chile","Chilean","Chileans"
"China","Chinese","Chinese"
"Christmas Island","Christmas Island","Christmas Islanders"
"Cocos (Keeling) Islands","Cocos Island","Cocos Islanders"
"Colombia","Colombian","Colombians"
"Comoros","Comoran,Comorian","Comorans,Comorians"
"Congo","Congolese","Congolese"
"Cook Islands","Cook Island","Cook Island"
"Costa Rica","Costa Rican","Costa Ricans"
"Côte d'Ivoire","Ivorian","Ivorians"
"Croatia","Croatian","Croatians,Croats"
"Cuba","Cuban","Cubans"
"Curaçao","Curaçaoan","Curaçaoans"
"Cyprus","Cypriot","Cypriots"
"Czech Republic","Czech","Czechs"
"Denmark","Danish","Danes"
"Djibouti","Djiboutian","Djiboutians"
"Dominica","Dominican","Dominicans"
"Dominican Republic","Dominican","Dominicans"
"East Timor","Timorese","Timorese"
"Ecuador","Ecuadorian","Ecuadorians"
"Egypt","Egyptian","Egyptians"
"El Salvador","Salvadoran","Salvadorans"
"Equatorial Guinea","Equatorial Guinean,Equatoguinean","Equatorial Guineans,Equatoguineans"
"Eritrea","Eritrean","Eritreans"
"Estonia","Estonian","Estonians"
"Ethiopia","Ethiopian","Ethiopians Habesha"
"European Union","European","Europeans"
"Falkland Islands","Falkland Island","Falkland Islanders"
"Faroe Islands","Faroese","Faroese"
"Fiji","Fijian","Fijians"
"Finland","Finnish","Finns"
"France","French","French,Frenchmen,Frenchwomen"
"French Guiana","French Guianese","French Guianese"
"French Polynesia","French Polynesian","French Polynesians"
"Gabon","Gabonese","Gabonese,Gabonaise"
"Gambia","Gambian","Gambians"
"Georgia","Georgian","Georgians"
"Germany","German","Germans"
"Ghana","Ghanaian","Ghanaians"
"Gibraltar","Gibraltar","Gibraltarians,Llanitos"
"Greece","Greek,Hellenic","Greeks,Hellenes"
"Greenland","Greenlandic","Greenlanders"
"Grenada","Grenadian","Grenadians"
"Guadeloupe","Guadeloupe","Guadeloupians"
"Guam","Guamanian","Guamanians"
"Guatemala","Guatemalan","Guatemalans"
"Guernsey","Channel Island","Channel Islander"
"Guinea","Guinean","Guineans"
"Guinea-Bissau","Bissau-Guinean","Bissau-Guineans"
"Guyana","Guyanese","Guyanese"
"Haiti","Haitian","Haitians"
"Heard Island and McDonald Islands","Heard Island,McDonald Islands",
"Honduras","Honduran","Hondurans"
"Hong Kong","Hong Kong,Hong Kongese","Hongkongers,Hong Kongese"
"Hungary","Hungarian,Magyar","Hungarians,Magyars"
"Iceland","Icelandic","Icelanders"
"India","Indian","Indians"
"Indonesia","Indonesian","Indonesians"
"Iran","Iranian,Persian","Iranians,Persians"
"Iraq","Iraqi","Iraqis"
"Ireland","Irish","Irish,Irishmen,Irishwomen"
"Isle of Man","Manx","Manx"
"Israel","Israeli","Israelis"
"Italy","Italian","Italians"
"Ivory Coast","Ivorian","Ivorians"
"Jamaica","Jamaican","Jamaicans"
"Jan Mayen","Jan Mayen",
"Japan","Japanese","Japanese"
"Jersey","Channel Island","Channel Islander"
"Jordan","Jordanian","Jordanians"
"Kazakhstan","Kazakhstani,Kazakh","Kazakhstanis,Kazakhs"
"Kenya","Kenyan","Kenyans"
"Kiribati","I-Kiribati","I-Kiribati"
"North Korea","North Korean","Koreans"
"South Korea","South Korean","Koreans"
"Kosovo","Kosovar,Kosovan","Kosovars"
"Kuwait","Kuwaiti","Kuwaitis"
"Kyrgyzstan","Kyrgyzstani,Kyrgyz,Kirgiz,Kirghiz","Kyrgyzstanis,Kyrgyz,Kirgiz,Kirghiz"
"Laos","Lao,Laotian","Laos,Laotians"
"Latvia","Latvian,Lettish","Latvians,Letts"
"Lebanon","Lebanese","Lebanese"
"Lesotho","Basotho","Basotho,Mosotho"
"Liberia","Liberian","Liberians"
"Libya","Libyan","Libyans"
"Liechtenstein","Liechtensteiner","Liechtensteiners"
"Lithuania","Lithuanian","Lithuanians"
"Luxembourg","Luxembourg,Luxembourgish","Luxembourgers"
"Macau","Macanese","Macanese"
"Macedonia","Macedonian","Macedonians"
"Madagascar","Malagasy","Malagasy"
"Malawi","Malawian","Malawians"
"Malaysia","Malaysian","Malaysians"
"Maldives","Maldivian","Maldivians"
"Mali","Malian,Malinese","Malians"
"Malta","Maltese","Maltese"
"Marshall Islands","Marshallese","Marshallese"
"Martinique","Martiniquais,Martinican","Martiniquais,Martiniquaises"
"Mauritania","Mauritanian","Mauritanians"
"Mauritius","Mauritian","Mauritians"
"Mayotte","Mahoran","Mahorans"
"Mexico","Mexican","Mexicans,Aztecas"
"Micronesia","Micronesian","Micronesians"
"Moldova","Moldovan","Moldovans"
"Monaco","Monégasque,Monacan","Monégasques,Monacans"
"Mongolia","Mongolian","Mongolians,Mongols"
"Montenegro","Montenegrin","Montenegrins"
"Montserrat","Montserratian","Montserratians"
"Morocco","Moroccan","Moroccans"
"Mozambique","Mozambican","Mozambicans"
"Myanmar","Burmese","Burmese,Bamar"
"Namibia","Namibian","Namibians"
"Nauru","Nauruan","Nauruans"
"Nepal","Nepali,Nepalese","Nepali,Nepalese"
"Netherlands","Dutch,Netherlandic","Dutch,Dutchmen,Dutchwomen,Netherlanders"
"New Caledonia","New Caledonian","New Caledonians"
"New Zealand","New Zealand","New Zealanders,Kiwis"
"Nicaragua","Nicaraguan","Nicaraguans"
"Niger","Nigerien","Nigeriens"
"Nigeria","Nigerian","Nigerians"
"Niue","Niuean","Niueans"
"Norfolk Island","Norfolk Island","Norfolk Islander"
"Northern Mariana Islands","Northern Marianan","Northern Marianans"
"Norway","Norwegian","Norwegians"
"Oman","Omani","Omanis"
"Pakistan","Pakistani","Pakistanis"
